,OR,CI_low,CI_high,p_value,model
Intercept,0.18791767934658757,0.11263703814175251,0.31351192106601566,1.5371836936987404e-10,quit_attempt_adjusted_agecat
"C(pattern, Treatment(reference='low_low'))[T.transient_w6_only]",1.0032167025417962,0.7039595230019986,1.4296898037076164,0.9858233462579665,quit_attempt_adjusted_agecat
"C(pattern, Treatment(reference='low_low'))[T.emergent_w7_only]",0.9235879292189662,0.6466337014783876,1.3191620867405227,0.6620875136997724,quit_attempt_adjusted_agecat
"C(pattern, Treatment(reference='low_low'))[T.persistent]",1.3186440042712564,0.9517928938667192,1.8268911453377825,0.09632704392540074,quit_attempt_adjusted_agecat
C(agecat_w6)[T.2],1.6030275319488725,1.1323904349424971,2.269267903447615,0.007788924793666929,quit_attempt_adjusted_agecat
C(agecat_w6)[T.3],3.0590018898204234,2.0640996923272947,4.533449908794981,2.5397489727510622e-08,quit_attempt_adjusted_agecat
C(agecat_w6)[T.4],3.73156052713833,2.436649751122038,5.71462679906493,1.3985274047366096e-09,quit_attempt_adjusted_agecat
C(agecat_w6)[T.5],6.0067890198361,3.8586516324939937,9.35080897818772,2.0227480737656645e-15,quit_attempt_adjusted_agecat
C(agecat_w6)[T.6],3.828052842949558,2.3626140278394843,6.202447118209435,4.98632707397209e-08,quit_attempt_adjusted_agecat
C(sex_w6)[T.2],1.0225076888258338,0.8088361745468564,1.292625140429325,0.852365927496455,quit_attempt_adjusted_agecat
C(edu_w6)[T.2],0.5788739912644413,0.3524401947997925,0.9507857012528859,0.03082668445840928,quit_attempt_adjusted_agecat
C(edu_w6)[T.3],0.6827723574598287,0.45466317759069785,1.0253262526813207,0.06585583375834854,quit_attempt_adjusted_agecat
C(edu_w6)[T.4],0.4898745544853371,0.328019673539931,0.7315935551743492,0.0004880582541670001,quit_attempt_adjusted_agecat
C(edu_w6)[T.5],0.548690984981621,0.3352623141173881,0.8979887816877872,0.01693775979558531,quit_attempt_adjusted_agecat
C(income_w6)[T.2],1.3618729062321058,0.9424764824764446,1.9678982417213118,0.10006891884553037,quit_attempt_adjusted_agecat
C(income_w6)[T.3],0.9805428934206093,0.6896110564863344,1.3942125155829967,0.9128747571328024,quit_attempt_adjusted_agecat
C(income_w6)[T.4],1.277768313429013,0.8656277981886819,1.886136127120244,0.21731949392109007,quit_attempt_adjusted_agecat
C(income_w6)[T.5],0.6524449833931645,0.4154210275559402,1.0247060888066974,0.06373877004618073,quit_attempt_adjusted_agecat
smoker_w6,12.580328540366247,9.56197216507848,16.55146694126092,3.8019867871861606e-73,quit_attempt_adjusted_agecat
