var_name,label,var_lower,label_lower
CASEID,CASEID: Case Identification Number,caseid,caseid: case identification number
PERSONID,PERSONID: Participant ID,personid,personid: participant id
R06_ADULTTYPE,R06_ADULTTYPE: Wave 6 adult type classification,r06_adulttype,r06_adulttype: wave 6 adult type classification
R06_ADULT_MODE,R06_ADULT_MODE: Wave 6 Adult interview mode,r06_adult_mode,r06_adult_mode: wave 6 adult interview mode
R06R_A_AT0047,R06R_A_AT0047: DERIVED - Recoded marital status (3 levels),r06r_a_at0047,r06r_a_at0047: derived - recoded marital status (3 levels)
R06R_A_AM0065_V2,R06R_A_AM0065_V2: DERIVED - Recoded number of years in US (2 levels),r06r_a_am0065_v2,r06r_a_am0065_v2: derived - recoded number of years in us (2 levels)
R06_AM0066,R06_AM0066: How well you speak English,r06_am0066,r06_am0066: how well you speak english
R06_AM0070,R06_AM0070: How well you read English,r06_am0070,r06_am0070: how well you read english
R06_AM0073,R06_AM0073: How well you write in English,r06_am0073,r06_am0073: how well you write in english
R06_AM0071,R06_AM0071: Speak a language other than English at home,r06_am0071,r06_am0071: speak a language other than english at home
R06_AM0072_01,R06_AM0072_01: Other language spoken at home: Spanish,r06_am0072_01,r06_am0072_01: other language spoken at home: spanish
R06R_A_AM0072_02,"R06R_A_AM0072_02: DERIVED - Recoded other language(s) spoken at home: Chinese, T",r06r_a_am0072_02,"r06r_a_am0072_02: derived - recoded other language(s) spoken at home: chinese, t"
R06_AC1002,"R06_AC1002: Ever smoked a cigarette, even one or two puffs",r06_ac1002,"r06_ac1002: ever smoked a cigarette, even one or two puffs"
R06_AC1004,"R06_AC1004: In past 30 days, smoked a cigarette, even one or two puffs",r06_ac1004,"r06_ac1004: in past 30 days, smoked a cigarette, even one or two puffs"
R06_AC1002_12M,"R06_AC1002_12M: In past 12 months, smoked a cigarette, even one or two puffs",r06_ac1002_12m,"r06_ac1002_12m: in past 12 months, smoked a cigarette, even one or two puffs"
R06_AC1003,R06_AC1003: Now smoke cigarettes,r06_ac1003,r06_ac1003: now smoke cigarettes
R06_AC1009_NN,R06_AC1009_NN: How long since last smoked a cigarette - Number,r06_ac1009_nn,r06_ac1009_nn: how long since last smoked a cigarette - number
R06_AC1009_UN,R06_AC1009_UN: How long since last smoked a cigarette - Unit,r06_ac1009_un,r06_ac1009_un: how long since last smoked a cigarette - unit
R06_AC1010,R06_AC1010: Completely quit smoking cigarettes,r06_ac1010,r06_ac1010: completely quit smoking cigarettes
R06_AC1103,R06_AC1103: Ever been curious about smoking a cigarette,r06_ac1103,r06_ac1103: ever been curious about smoking a cigarette
R06_AC1206,R06_AC1206: Think you will smoke a cigarette in the next year,r06_ac1206,r06_ac1206: think you will smoke a cigarette in the next year
R06_AC1104,R06_AC1104: Think you will try a cigarette soon,r06_ac1104,r06_ac1104: think you will try a cigarette soon
R06_AC1205,R06_AC1205: Would smoke a cigarette if a best friend offered,r06_ac1205,r06_ac1205: would smoke a cigarette if a best friend offered
R06_AV1004,"R06_AV1004: In the past 30 days, used an electronic nicotine product, even one o",r06_av1004,"r06_av1004: in the past 30 days, used an electronic nicotine product, even one o"
R06_AV1002,"R06_AV1002: Ever used an electronic nicotine product, even one or two times",r06_av1002,"r06_av1002: ever used an electronic nicotine product, even one or two times"
R06_AV1002_12M,"R06_AV1002_12M: In the past 12 months, used an electronic nicotine product, even",r06_av1002_12m,"r06_av1002_12m: in the past 12 months, used an electronic nicotine product, even"
R06_AV9011,"R06_AV9011: Around this time 12 months ago, used nicotine in an electronic produ",r06_av9011,"r06_av9011: around this time 12 months ago, used nicotine in an electronic produ"
R06_AV1003,R06_AV1003: Now use electronic nicotine products,r06_av1003,r06_av1003: now use electronic nicotine products
R06_AV1009_NN,R06_AV1009_NN: How long since you last took a puff from an electronic nicotine p,r06_av1009_nn,r06_av1009_nn: how long since you last took a puff from an electronic nicotine p
R06_AV1009_UN,R06_AV1009_UN: How long since you last took a puff from an electronic nicotine p,r06_av1009_un,r06_av1009_un: how long since you last took a puff from an electronic nicotine p
R06_AV1010,R06_AV1010: Completely quit using electronic nicotine products,r06_av1010,r06_av1010: completely quit using electronic nicotine products
R06_AV1103,R06_AV1103: Ever been curious about using an electronic nicotine product,r06_av1103,r06_av1103: ever been curious about using an electronic nicotine product
R06_AV1206,R06_AV1206: Think you will use an electronic nicotine product in the next year,r06_av1206,r06_av1206: think you will use an electronic nicotine product in the next year
R06_AV1104,R06_AV1104: Think you will try an electronic nicotine product soon,r06_av1104,r06_av1104: think you will try an electronic nicotine product soon
R06_AV1105,R06_AV1105: Would try an electronic nicotine product if one of your best friends,r06_av1105,r06_av1105: would try an electronic nicotine product if one of your best friends
R06_AG9003,"R06_AG9003: Ever smoked a traditional cigar, even one or two puffs",r06_ag9003,"r06_ag9003: ever smoked a traditional cigar, even one or two puffs"
R06_AG9004,"R06_AG9004: Ever smoked a cigarillo or filtered cigar, even one or two puffs",r06_ag9004,"r06_ag9004: ever smoked a cigarillo or filtered cigar, even one or two puffs"
R06_AG9009_01,R06_AG9009_01: Type of cigarillo or filtered cigar ever smoked: with a plastic o,r06_ag9009_01,r06_ag9009_01: type of cigarillo or filtered cigar ever smoked: with a plastic o
R06_AG9009_02,R06_AG9009_02: Type of cigarillo or filtered cigar ever smoked: with a filter (l,r06_ag9009_02,r06_ag9009_02: type of cigarillo or filtered cigar ever smoked: with a filter (l
R06_AG9009_03,R06_AG9009_03: Type of cigarillo or filtered cigar ever smoked: without a tip or,r06_ag9009_03,r06_ag9009_03: type of cigarillo or filtered cigar ever smoked: without a tip or
R06_AG9030,"R06_AG9030: In past 30 days, smoked a traditional cigar, even one or two puffs",r06_ag9030,"r06_ag9030: in past 30 days, smoked a traditional cigar, even one or two puffs"
R06_AG9003_12M,"R06_AG9003_12M: In past 12 months, smoked a traditional cigar, even one or two p",r06_ag9003_12m,"r06_ag9003_12m: in past 12 months, smoked a traditional cigar, even one or two p"
R06_AG9031,"R06_AG9031: In past 30 days, smoked a cigarillo or filtered cigar, even one or t",r06_ag9031,"r06_ag9031: in past 30 days, smoked a cigarillo or filtered cigar, even one or t"
R06_AG9049_01,"R06_AG9049_01: In past 30 days, type of cigarillos or filtered cigars smoked: Wi",r06_ag9049_01,"r06_ag9049_01: in past 30 days, type of cigarillos or filtered cigars smoked: wi"
R06_AG9049_02,"R06_AG9049_02: In past 30 days, type of cigarillos or filtered cigars smoked: Wi",r06_ag9049_02,"r06_ag9049_02: in past 30 days, type of cigarillos or filtered cigars smoked: wi"
R06_AG9049_03,"R06_AG9049_03: In past 30 days, type of cigarillos or filtered cigars smoked: Wi",r06_ag9049_03,"r06_ag9049_03: in past 30 days, type of cigarillos or filtered cigars smoked: wi"
R06_AG9051,"R06_AG9051: In past 12 months, smoked cigarillo/filtered cigar that has a plasti",r06_ag9051,"r06_ag9051: in past 12 months, smoked cigarillo/filtered cigar that has a plasti"
R06_AG9052,"R06_AG9052: In past 12 months, smoked cigarillo/filtered cigar that has a filter",r06_ag9052,"r06_ag9052: in past 12 months, smoked cigarillo/filtered cigar that has a filter"
R06_AG9053,"R06_AG9053: In past 12 months, smoked cigarillo/filtered cigar without a tip or",r06_ag9053,"r06_ag9053: in past 12 months, smoked cigarillo/filtered cigar without a tip or"
R06_AG9004_12M,"R06_AG9004_12M: In past 12 months, smoked cigarillo or filtered cigar, even one",r06_ag9004_12m,"r06_ag9004_12m: in past 12 months, smoked cigarillo or filtered cigar, even one"
R06_AG9009_12M_01,"R06_AG9009_12M_01: In last 12 months, type of cigarillos or filtered cigars smok",r06_ag9009_12m_01,"r06_ag9009_12m_01: in last 12 months, type of cigarillos or filtered cigars smok"
R06_AG9009_12M_02,"R06_AG9009_12M_02: In last 12 months, type of cigarillos or filtered cigars smok",r06_ag9009_12m_02,"r06_ag9009_12m_02: in last 12 months, type of cigarillos or filtered cigars smok"
R06_AG9009_12M_03,"R06_AG9009_12M_03: In last 12 months, type of cigarillos or filtered cigars smok",r06_ag9009_12m_03,"r06_ag9009_12m_03: in last 12 months, type of cigarillos or filtered cigars smok"
R06_AG9107,"R06_AG9107: In past 12 months, smoked part or all of a traditional cigar, cigari",r06_ag9107,"r06_ag9107: in past 12 months, smoked part or all of a traditional cigar, cigari"
R06_AG1095_01,R06_AG1095_01: Cigar type smoked as a blunt: Group 1 (Traditional cigar),r06_ag1095_01,r06_ag1095_01: cigar type smoked as a blunt: group 1 (traditional cigar)
R06_AG1095_02,R06_AG1095_02: Cigar type smoked as a blunt: Group 2 (Cigarillos with and withou,r06_ag1095_02,r06_ag1095_02: cigar type smoked as a blunt: group 2 (cigarillos with and withou
R06_AG1095_03,R06_AG1095_03: Cigar type smoked as a blunt: Group 3 (Filtered cigar),r06_ag1095_03,r06_ag1095_03: cigar type smoked as a blunt: group 3 (filtered cigar)
R06_AG9106_01,"R06_AG9106_01: In past 12 months, how often tobacco in traditional cigar was rep",r06_ag9106_01,"r06_ag9106_01: in past 12 months, how often tobacco in traditional cigar was rep"
R06_AG9106_02,"R06_AG9106_02: In past 12 months, how often tobacco in cigarillos with or withou",r06_ag9106_02,"r06_ag9106_02: in past 12 months, how often tobacco in cigarillos with or withou"
R06_AG9106_03,"R06_AG9106_03: In past 12 months, how often tobacco in filtered cigars was repla",r06_ag9106_03,"r06_ag9106_03: in past 12 months, how often tobacco in filtered cigars was repla"
